"Date: 2026-06-07+0000"
"Version: 7.2"
"Status: 
0 Normal
"","UVFarms - Team","Have you ever tried reading through open source gemma or kimi","TEXT","","","N","","","","","0","0","2026-06-06T02:15:43+0000","","-221001839476736","Asia/Calcutta","false","false","Open Source ","18691697803264","kanban","17","","TASK"
"","UVFarms - Team","Saas, existing to open, library, AI","TEXT","","","N","","","","","0","0","2026-06-06T02:14:56+0000","","-221001839411200","Asia/Calcutta","false","false","Open Source ","18691697803264","kanban","18","","TASK"
"","UVFarms - Team","ImIndianWeatherMan.com","TEXT","","","N","","","","","0","0","2026-06-06T02:13:22+0000","","-221001839345664","Asia/Calcutta","false","false","ImIndianWeatherMan","17592186109952","kanban","19","","TASK"
"","UVFarms - Team","Meet in Chennai before 10-June","TEXT","","","N","","","","","0","0","2026-06-05T13:12:39+0000","","-221001839280128","Asia/Calcutta",,"false","Prathish - Accounting AI","14293651161088","kanban","20","","TASK"
"","UVFarms - Team","Vidya BOT teaser video by Mageswaran","TEXT","","","N","","","","","0","0","2026-06-05T11:59:42+0000","","-219902327652352","Asia/Calcutta",,"false","Interns","9895604649984","kanban","21","","TASK"
"","UVFarms - Team","Vidya BOT teaser image by Shivani","TEXT","","","N","","","","","0","0","2026-06-05T11:59:20+0000","","-218802816024576","Asia/Calcutta",,"false","Interns","9895604649984","kanban","22","","TASK"
"","UVFarms - Team","MVP1 == 10-Jun","TEXT","","","N","","","","","0","0","2026-06-05T11:59:00+0000","","-217703304396800","Asia/Calcutta",,"false","Interns","9895604649984","kanban","23","","TASK"
"","UVFarms - Team","Ping Kaushik + meeting","TEXT","","","N","2026-06-07T18:30:00+0000","2026-06-07T18:30:00+0000","","","0","0","2026-06-05T08:12:58+0000","","-216603792769024","Asia/Calcutta","true","false","Pratap AI","13194139533312","kanban","24","","TASK"
"","UVFarms - Team","DB by Rakesh","TEXT","","","N","","","","","5","0","2026-06-05T06:29:11+0000","","-215504281141248","Asia/Calcutta",,"false","School App","8796093022208","kanban","25","","TASK"
"","UVFarms - Team","100 SaaS","TEXT","","","N","","","","","0","0","2026-06-05T06:27:51+0000","","-214404769513472","Asia/Calcutta",,"false","Sankari","7696581394432","kanban","26","","TASK"
"","UVFarms - Team","Colleges list","TEXT","","","N","","","","","0","0","2026-06-05T06:27:44+0000","","-213305257885696","Asia/Calcutta",,"false","Sankari","7696581394432","kanban","27","","TASK"
"","UVFarms - Team","100 SaaS","TEXT","","","N","","","","","0","2","2026-06-05T06:27:27+0000","2026-06-05T06:27:30+0000","-212205746257920","Asia/Calcutta",,"false","Anthony","6597069766656","kanban","28","","TASK"
"","UVFarms - Team","100 SaaS","TEXT","","","N","","","","","0","2","2026-06-05T06:27:17+0000","2026-06-05T06:27:21+0000","-211106234630144","Asia/Calcutta",,"false","Kaviya","5497558138880","kanban","29","","TASK"
"","UVFarms - Team","100 SaaS","TEXT","","","N","","","","","0","0","2026-06-05T06:26:41+0000","","-210006723002368","Asia/Calcutta",,"false","Sriram","3298534883328","kanban","30","","TASK"
"","UVFarms - Team","Sankari status","TEXT","","","N","","","","","0","0","2026-06-05T04:52:59+0000","","-208907211374592","Asia/Calcutta",,"false","Sriram","3298534883328","kanban","31","","TASK"
"","UVFarms - Team","Buy AutoCAD licence","TEXT","","","N","","","","","0","0","2026-06-04T13:31:49+0000","","-207807699746816","Asia/Calcutta","false","false","Pratap AI","13194139533312","kanban","32","","TASK"
"","UVFarms - Team","Come up with 10 micro SaaS Idea","TEXT","","","N","","","","","0","0","2026-06-04T11:29:04+0000","","-207807699681280","Asia/Calcutta","false","false","Interns","9895604649984","kanban","33","","TASK"
"","UVFarms - Team","Opinion about working long term","TEXT","","","N","","","","","0","0","2026-06-04T11:28:28+0000","","-207807699615744","Asia/Calcutta","false","false","Interns","9895604649984","kanban","34","","TASK"
"","UVFarms - Team","Opinion about All college Open source","TEXT","","","N","","","","","0","0","2026-06-04T11:28:07+0000","","-207807699550208","Asia/Calcutta","false","false","Interns","9895604649984","kanban","35","","TASK"
"","UVFarms - Team","All tamilnadu engineering college Open source project","TEXT","","","N","","","","","0","0","2026-06-04T11:27:03+0000","","-207807699484672","Asia/Calcutta","false","false","Open Source ","18691697803264","kanban","36","","TASK"
"","UVFarms - Team","Something like GSSoS 2026","TEXT","","","N","","","","","0","0","2026-06-04T11:26:29+0000","","-207807699419136","Asia/Calcutta","false","false","Open Source ","18691697803264","kanban","37","","TASK"
"","UVFarms - Team","World environment day","TEXT","","","N","2026-06-04T18:30:00+0000","2026-06-04T18:30:00+0000","","","0","2","2026-06-04T11:22:56+0000","2026-06-06T02:14:03+0000","-207807699353600","Asia/Calcutta","true","false","X.com","18691697737728","kanban","38","","TASK"
"","UVFarms - Team","[Automated sorting equipment handles parcels in Guangzhou, China's Guangdong - People's Daily Online](https://en.people.cn/n3/2026/0530/c90000-20462206.html)","TEXT","","","N","","","","","0","0","2026-06-03T13:29:21+0000","","-207807699288064","Asia/Calcutta",,"false","X.com","18691697737728","kanban","39","","TASK"
"","UVFarms - Team","vb vs python","TEXT","","","N","","","","","0","2","2026-06-03T13:27:38+0000","2026-06-07T06:39:12+0000","-206708187660288","Asia/Calcutta",,"false","X.com","18691697737728","kanban","40","","TASK"
"","UVFarms - Team","Spoke with JohnPaul -- we will get an appointment when i'm in Nagercoil","TEXT","","","N","","","","","0","2","2026-06-03T13:10:06+0000","2026-06-04T11:23:35+0000","-205608676032512","Asia/Calcutta","false","false","Vijay R","16492674416640","kanban","41","","TASK"
"","UVFarms - Team","SA team == ""work on finding a super Live real life avatar like Heygen""","TEXT","","","N","","","","","0","2","2026-06-03T12:43:29+0000","2026-06-04T11:24:15+0000","-204509164404736","Asia/Calcutta","false","false","Interns","9895604649984","kanban","42","","TASK"
"","UVFarms - Team","VIT team == ""work on finding a super streaming voice agent""","TEXT","","","N","","","","","0","2","2026-06-03T12:42:34+0000","2026-06-05T11:58:24+0000","-203409652776960","Asia/Calcutta",,"false","Interns","9895604649984","kanban","43","","TASK"
"","UVFarms - Team","Learn about Agile method","TEXT","","","N","","","","","0","0","2026-06-03T05:46:47+0000","","-202310141149184","Asia/Calcutta",,"false","Sankari","7696581394432","kanban","44","","TASK"
"","UVFarms - Team","Hosting to vercel","TEXT","","","N","","","","","0","0","2026-06-03T05:46:37+0000","","-201210629521408","Asia/Calcutta",,"false","Sankari","7696581394432","kanban","45","","TASK"
"","UVFarms - Team","Laptop status","TEXT","","","N","","","","","0","0","2026-06-03T05:46:02+0000","","-200111117893632","Asia/Calcutta",,"false","Sriram","3298534883328","kanban","46","","TASK"
"","UVFarms - Team","Weather bloggers united","TEXT","","","N","","","","","0","0","2026-06-03T01:19:22+0000","","-199011606265856","Asia/Calcutta","false","false","ImIndianWeatherMan","17592186109952","kanban","47","","TASK"
"","UVFarms - Team","Awsone","TEXT","","","N","","","","","0","0","2026-06-03T01:18:46+0000","","-199011606200320","Asia/Calcutta","false","false","ImIndianWeatherMan","17592186109952","kanban","48","","TASK"
"","UVFarms - Team","Build the web app using herbie models","TEXT","","","N","","","","","0","0","2026-06-03T01:17:37+0000","","-199011606134784","Asia/Calcutta","false","false","ImIndianWeatherMan","17592186109952","kanban","49","","TASK"
"","UVFarms - Team","Wayolabs model","TEXT","","","N","","","","","0","0","2026-06-03T01:16:32+0000","","-199011606069248","Asia/Calcutta","false","false","Amul","17592186044416","kanban","50","","TASK"
"","UVFarms - Team","Shall we move Sandya out to sterling","TEXT","","","N","","","","","0","0","2026-06-03T01:15:55+0000","","-199011606003712","Asia/Calcutta","false","false","Vijay R","16492674416640","kanban","51","","TASK"
"","UVFarms - Team","School app partner","TEXT","","","N","","","","","0","0","2026-06-03T01:15:34+0000","","-199011605938176","Asia/Calcutta","false","false","Raj & CoinSwitch","15393162788864","kanban","52","","TASK"
"","UVFarms - Team","Call prathish to discuss about the sample data","TEXT","","","N","","","","","0","0","2026-06-03T01:14:45+0000","","-199011605872640","Asia/Calcutta","false","false","Prathish - Accounting AI","14293651161088","kanban","53","","TASK"
"","UVFarms - Team","Call Dinesh","TEXT","","","N","","","","","0","0","2026-06-03T01:14:23+0000","","-199011605807104","Asia/Calcutta","false","false","Hospital AI","12094627905536","kanban","54","","TASK"
"","UVFarms - Team","Call Ravi","TEXT","","","N","","","","","0","0","2026-06-03T01:13:16+0000","","-199011605741568","Asia/Calcutta","false","false","Kanchipuram","4398046576639","kanban","55","","TASK"
"","UVFarms - Team","PRD discussion 1","TEXT","","","N","2026-06-02T18:30:00+0000","2026-06-02T18:30:00+0000","","","5","2","2026-06-02T17:26:14+0000","2026-06-05T06:28:13+0000","-199011605676032","Asia/Calcutta","true","false","School App","8796093022208","kanban","56","","TASK"
"","UVFarms - Team","GitHub -- make it ready","TEXT","","","N","2026-06-02T18:30:00+0000","2026-06-02T18:30:00+0000","","","5","0","2026-06-02T17:25:56+0000","","-197912094048256","Asia/Calcutta","true","false","School App","8796093022208","kanban","57","","TASK"
"","UVFarms - Team","review Antony PRD -- very important","TEXT","","","N","2026-06-02T18:30:00+0000","2026-06-02T18:30:00+0000","","","5","0","2026-06-02T17:25:30+0000","","-196812582420480","Asia/Calcutta","true","false","School App","8796093022208","kanban","58","","TASK"
"","UVFarms - Team","Prepare my PRD similar to Kaviya prd. ","TEXT","","","N","2026-06-02T18:30:00+0000","2026-06-02T18:30:00+0000","","","5","2","2026-06-02T17:24:16+0000","2026-06-04T05:48:42+0000","-195713070792704","Asia/Calcutta","true","false","School App","8796093022208","kanban","59","","TASK"
"","UVFarms - Team","Kaviya : Teacher portal + Driver APP","TEXT","","","N","","","","","0","0","2026-06-02T17:23:15+0000","2026-06-05T06:28:18+0000","-194613559164928","Asia/Calcutta",,"false","School App","8796093022208","kanban","60","","TASK"
"","UVFarms - Team","Streaming / Live voice AI agent ... https://docs.google.com/document/d/1tSVxtOHOgQIUdQAF1ABYyuw2pPD-oTMEkh56c_SZahc/edit?usp=sharing","TEXT","","","N","","","","","0","0","2026-06-02T02:14:07+0000","","-193514047537152","Asia/Calcutta",,"false","Interns","9895604649984","kanban","61","","TASK"
"","UVFarms - Team","Gemini - Vidya BOT ... https://gemini.google.com/share/3198fd7f2eb7","TEXT","","","N","","","","","0","0","2026-06-02T02:12:30+0000","","-192414535909376","Asia/Calcutta",,"false","Interns","9895604649984","kanban","62","","TASK"
"","UVFarms - Team","immediate AMS bug... ","TEXT","","","N","","","","","0","2","2026-06-01T16:10:40+0000","2026-06-06T02:22:41+0000","-191315024281600","Asia/Calcutta","false","false","Amul","17592186044416","kanban","63","","TASK"
"","UVFarms - Team","IOT & AI based development for kids as a Service -- Offline and Online teachers","TEXT","","","N","","","","","0","0","2026-06-01T12:46:21+0000","","-190215512653824","Asia/Calcutta",,"false","Amul","17592186044416","kanban","64","","TASK"
"","UVFarms - Team","thehybridlearning.com EMAIL","TEXT","","","N","","","","","0","2","2026-06-01T12:45:29+0000","2026-06-03T01:16:30+0000","-189116001026048","Asia/Calcutta","false","false","Amul","17592186044416","kanban","65","","TASK"
"","UVFarms - Team","Shall we try to colab with Karka.com training institute for ""Live Project work"" and ""Placement"" ? It'll be a value addition for them.","TEXT","","","N","","","","","0","0","2026-06-01T12:44:08+0000","","-188016489398272","Asia/Calcutta",,"false","Vijay R","16492674416640","kanban","66","","TASK"
"","UVFarms - Team","we need candidates like Sandhya & Sriram","TEXT","","","N","","","","","0","0","2026-06-01T12:42:49+0000","","-186916977770496","Asia/Calcutta",,"false","Vijay R","16492674416640","kanban","67","","TASK"
"","UVFarms - Team","2 interview pending","TEXT","","","N","","","","","0","0","2026-06-01T12:42:34+0000","","-185817466142720","Asia/Calcutta",,"false","Vijay R","16492674416640","kanban","68","","TASK"
"","UVFarms - Team","Audio and Video features == Srinivas","TEXT","","","N","","","","","0","2","2026-06-01T12:39:28+0000","2026-06-03T12:41:23+0000","-184717954514944","Asia/Calcutta",,"false","Interns","9895604649984","kanban","69","","TASK"
"","UVFarms - Team","Mageswaran == Backend and Brain","TEXT","","","N","","","","","0","2","2026-06-01T12:38:58+0000","2026-06-03T12:41:26+0000","-183618442887168","Asia/Calcutta",,"false","Interns","9895604649984","kanban","70","","TASK"
"","UVFarms - Team","Vishnu == Presentation and Frontend","TEXT","","","N","","","","","0","2","2026-06-01T12:38:40+0000","2026-06-03T12:41:24+0000","-182518931259392","Asia/Calcutta",,"false","Interns","9895604649984","kanban","71","","TASK"
"","UVFarms - Team","Shivani call - 12:30pm on Tuesday","TEXT","","","N","","","","","0","2","2026-06-01T12:36:55+0000","2026-06-03T12:41:54+0000","-181419419631616","Asia/Calcutta",,"false","Interns","9895604649984","kanban","72","","TASK"
"","UVFarms - Team","Call JohnPaul = 3rd time >> Arunachala College","TEXT","","","N","","","","","0","0","2026-06-01T12:27:16+0000","","-180319908003840","Asia/Calcutta","true","false","Pratap AI","13194139533312","kanban","73","","TASK"
"","UVFarms - Team","AI partner for Pixelonics","TEXT","","","N","","","","","0","0","2026-06-01T06:38:34+0000","","-179220396376064","Asia/Calcutta",,"false","Raj & CoinSwitch","15393162788864","kanban","74","","TASK"
"","UVFarms - Team","Trainees","TEXT","","","N","","","","","0","0","2026-06-01T06:38:20+0000","","-178120884748288","Asia/Calcutta",,"false","Raj & CoinSwitch","15393162788864","kanban","75","","TASK"
"","UVFarms - Team","Pixelonics update","TEXT","","","N","","","","","0","0","2026-06-01T06:38:15+0000","","-177021373120512","Asia/Calcutta",,"false","Raj & CoinSwitch","15393162788864","kanban","76","","TASK"
"","UVFarms - Team","Reminder for GK coins + CoinSwitch App dev","TEXT","","","N","","","","","0","0","2026-06-01T06:38:08+0000","","-175921861492736","Asia/Calcutta",,"false","Raj & CoinSwitch","15393162788864","kanban","77","","TASK"
"","UVFarms - Team","New interface discussed with Sriram","TEXT","","","N","","","","","0","0","2026-06-01T06:36:44+0000","","-174822349864960","Asia/Calcutta",,"false","Sriram","3298534883328","kanban","78","","TASK"
"","UVFarms - Team","Get email ID and Autocad license buy","TEXT","","","N","","","","","0","2","2026-05-31T07:02:34+0000","2026-06-04T13:31:47+0000","-173722838237184","Asia/Calcutta","false","false","Pratap AI","13194139533312","kanban","79","","TASK"
"","UVFarms - Team","Prepare a roadmap along with Koushik ","TEXT","","","N","","","","","0","2","2026-05-31T07:02:25+0000","2026-06-05T08:12:40+0000","-172623326609408","Asia/Calcutta","false","false","Pratap AI","13194139533312","kanban","80","","TASK"
"","UVFarms - Team","Ask for workflow ","TEXT","","","N","","","","","0","0","2026-05-31T07:02:16+0000","","-171523814981632","Asia/Calcutta",,"false","Pratap AI","13194139533312","kanban","81","","TASK"
"","UVFarms - Team","proof of concept","TEXT","","","N","","","","","0","0","2026-05-31T07:01:35+0000","","-170424303353856","Asia/Calcutta",,"false","Prathish - Accounting AI","14293651161088","kanban","82","","TASK"
"","UVFarms - Team","prepare a AI pipeline","TEXT","","","N","","","","","0","0","2026-05-31T07:01:19+0000","","-169324791726080","Asia/Calcutta",,"false","Prathish - Accounting AI","14293651161088","kanban","83","","TASK"
"","UVFarms - Team","get sample customer data ","TEXT","","","N","","","","","0","2","2026-05-31T07:01:03+0000","2026-06-03T01:14:42+0000","-168225280098304","Asia/Calcutta","false","false","Prathish - Accounting AI","14293651161088","kanban","84","","TASK"
"","UVFarms - Team","Get me a trainee","TEXT","","","N","","","","","0","0","2026-05-30T11:38:27+0000","","-167125768470528","Asia/Calcutta",,"false","Sankari","7696581394432","kanban","85","","TASK"
"","UVFarms - Team","Get me a trainee","TEXT","","","N","","","","","0","0","2026-05-30T11:38:18+0000","","-166026256842752","Asia/Calcutta",,"false","Kaviya","5497558138880","kanban","86","","TASK"
"","UVFarms - Team","R2P -- check the integrity of the migrated data in PostGres","TEXT","","","N","","","","","0","0","2026-05-30T11:37:19+0000","","-164926745214976","Asia/Calcutta",,"false","Sandhya","4398046511104","kanban","87","","TASK"
"","UVFarms - Team","R2P -- remove the redis data after the migration","TEXT","","","N","","","","","0","0","2026-05-30T11:36:47+0000","","-163827233587200","Asia/Calcutta",,"false","Sandhya","4398046511104","kanban","88","","TASK"
"","UVFarms - Team","Finalize the Fertilizer","TEXT","","","N","","","","","0","0","2026-05-30T11:31:59+0000","","-162727721959424","Asia/Calcutta",,"false","F3","1099511627776","kanban","89","","TASK"
"","UVFarms - Team","First training on 15-July","TEXT","","","N","","","","","0","0","2026-05-30T11:30:56+0000","","-161628210331648","Asia/Calcutta",,"false","F3","1099511627776","kanban","90","","TASK"
"","UVFarms - Team","Plan the training","TEXT","","","N","","","","","0","0","2026-05-30T11:30:42+0000","","-160528698703872","Asia/Calcutta",,"false","F3","1099511627776","kanban","91","","TASK"
"","UVFarms - Team","Find a part timer for Farm maintenance","TEXT","","","N","","","","","0","0","2026-05-30T11:30:33+0000","","-159429187076096","Asia/Calcutta",,"false","F3","1099511627776","kanban","92","","TASK"
"","UVFarms - Team","please grow 5 different crops before 30 June -- 5 variety x 10 bags each.","TEXT","","","N","","","","","0","0","2026-05-30T11:30:12+0000","","-158329675448320","Asia/Calcutta",,"false","F3","1099511627776","kanban","93","","TASK"
"","UVFarms - Team","Prepare an architecture","TEXT","","","N","","","","","0","0","2026-05-29T13:21:14+0000","","-157230163820544","Asia/Calcutta",,"false","Hospital AI","12094627905536","kanban","94","","TASK"
"","UVFarms - Team","Find a super Dataset","TEXT","","","N","","","","","0","0","2026-05-29T13:20:57+0000","","-156130652192768","Asia/Calcutta",,"false","Hospital AI","12094627905536","kanban","95","","TASK"
"","UVFarms - Team","more more research","TEXT","","","N","","","","","0","0","2026-05-29T13:20:45+0000","","-155031140564992","Asia/Calcutta",,"false","Hospital AI","12094627905536","kanban","96","","TASK"
"","UVFarms - Team","Ping Dr.Selvakumaran","TEXT","","","N","","","","","0","0","2026-05-29T13:20:35+0000","","-153931628937216","Asia/Calcutta",,"false","Hospital AI","12094627905536","kanban","97","","TASK"
"","UVFarms - Team","Ping Dr.Mani","TEXT","","","N","","","","","0","0","2026-05-29T13:20:11+0000","","-152832117309440","Asia/Calcutta",,"false","Hospital AI","12094627905536","kanban","98","","TASK"
"","UVFarms - Team","Call Sangeetha for a meeting","TEXT","","","N","","","","","0","0","2026-05-29T13:18:10+0000","","-151732605681664","Asia/Calcutta",,"false","School App","8796093022208","kanban","99","","TASK"
"","UVFarms - Team","11:30am Saturday meeting","TEXT","","","N","","","","","0","2","2026-05-29T13:16:58+0000","2026-06-02T17:22:40+0000","-150633094053888","Asia/Calcutta",,"false","School App","8796093022208","kanban","100","","TASK"
"","UVFarms - Team","General Interns guide using Vidya Bot project for 21 days... https://gemini.google.com/share/310838b17b4b","TEXT","","","N","","","","","0","2","2026-05-29T08:26:52+0000","2026-06-03T12:41:45+0000","-149533582426112","Asia/Calcutta",,"false","Interns","9895604649984","kanban","101","","TASK"
"","UVFarms - Team","Vidya Bot ... https://chat.qwen.ai/s/76015726-2f9f-4ab4-b2c6-ddae460b0246?fev=0.2.60","TEXT","","","N","","","","","0","0","2026-05-29T08:25:51+0000","","-148434070798336","Asia/Calcutta",,"false","Interns","9895604649984","kanban","102","","TASK"
"","UVFarms - Team","Test the API update from Sandhya","TEXT","","","N","","","","","0","2","2026-05-28T06:52:34+0000","2026-05-29T13:17:38+0000","-147334559170560","Asia/Calcutta",,"false","Sandhya","4398046511104","kanban","103","","TASK"
"","UVFarms - Team","Check kaviya PRD","TEXT","","","N","","","","","0","2","2026-05-28T06:48:02+0000","2026-06-02T17:22:47+0000","-146235047542784","Asia/Calcutta",,"false","School App","8796093022208","kanban","104","","TASK"
"","UVFarms - Team","Prompting ","TEXT","","","N","","","","","0","0","2026-05-28T06:47:35+0000","","-145135535915008","Asia/Calcutta",,"false","Sankari","7696581394432","kanban","105","","TASK"
"","UVFarms - Team","Creating API","TEXT","","","N","","","","","0","0","2026-05-28T06:47:29+0000","","-144036024287232","Asia/Calcutta",,"false","Sankari","7696581394432","kanban","106","","TASK"
"","UVFarms - Team","API access","TEXT","","","N","","","","","0","0","2026-05-28T06:47:24+0000","","-142936512659456","Asia/Calcutta",,"false","Sankari","7696581394432","kanban","107","","TASK"
"","UVFarms - Team","We shall clear the existing data in Aiven","TEXT","","","N","","","","","0","2","2026-05-26T06:31:37+0000","2026-05-28T06:51:10+0000","-141837001031680","Asia/Calcutta",,"false","Sandhya","4398046511104","kanban","108","","TASK"
"","UVFarms - Team","XGBoost web UI","TEXT","","","N","","","","","0","2","2026-05-26T04:46:06+0000","2026-05-30T11:37:39+0000","-140737489403904","Asia/Calcutta",,"false","Sriram","3298534883328","kanban","109","","TASK"
"","UVFarms - Team","How to integrate into Nifty pro","TEXT","","","N","","","","","0","2","2026-05-26T04:45:50+0000","2026-06-01T06:08:46+0000","-139637977776128","Asia/Calcutta",,"false","Sriram","3298534883328","kanban","110","","TASK"
"","UVFarms - Team","Research about other models","TEXT","","","N","","","","","0","0","2026-05-26T04:45:30+0000","","-138538466148352","Asia/Calcutta",,"false","Sriram","3298534883328","kanban","111","","TASK"
"","UVFarms - Team","Rakesh :  UVF super admin (web)","TEXT","","","N","","","","","0","0","2026-05-25T08:09:12+0000","","-135239931265024","Asia/Calcutta",,"false","School App","8796093022208","kanban","112","","TASK"
"","UVFarms - Team","Kaviya :  Teacher Portal (PWA)  + Driver App (PWA - New Portal)","TEXT","","","N","","","","","0","2","2026-05-25T08:08:18+0000","2026-05-28T06:47:49+0000","-131941396381696","Asia/Calcutta",,"false","School App","8796093022208","kanban","113","","TASK"
"","UVFarms - Team","Anthony :  Parent App (PWA - Android & iOS)  + School Admin Panel.","TEXT","","","N","","","","","0","0","2026-05-25T08:07:56+0000","","-130841884753920","Asia/Calcutta",,"false","School App","8796093022208","kanban","114","","TASK"
"","UVFarms - Team","status of 33 videos","TEXT","","","N","2026-05-21T18:30:00+0000","2026-05-21T18:30:00+0000","","FREQ=DAILY;INTERVAL=1","0","0","2026-05-22T08:58:32+0000","","-129742373126144","Asia/Calcutta","true","false","Ahaliya","10995116277760","kanban","115","","TASK"
"","UVFarms - Team","Start","TEXT","","","N","2026-05-25T18:30:00+0000","2026-05-25T18:30:00+0000","","","0","2","2026-05-22T08:57:31+0000","2026-05-29T08:25:27+0000","-128642861498368","Asia/Calcutta","true","false","Interns","9895604649984","kanban","116","","TASK"
"","UVFarms - Team","message it in WA group","TEXT","","","N","","","","","0","2","2026-05-22T08:57:14+0000","2026-05-25T14:46:17+0000","-127543349870592","Asia/Calcutta",,"false","Interns","9895604649984","kanban","117","","TASK"
"","UVFarms - Team","Plan the 21 days","TEXT","","","N","","","","","0","2","2026-05-22T08:57:03+0000","2026-05-25T05:56:08+0000","-126443838242816","Asia/Calcutta",,"false","Interns","9895604649984","kanban","118","","TASK"
"","UVFarms - Team","I've to final the features for 4 user roles","TEXT","","","N","","","","","0","2","2026-05-22T08:56:37+0000","2026-05-25T08:06:59+0000","-125344326615040","Asia/Calcutta",,"false","School App","8796093022208","kanban","119","","TASK"
"","UVFarms - Team","I've to final the Architecture","TEXT","","","N","","","","","0","2","2026-05-22T08:56:10+0000","2026-05-25T06:01:59+0000","-124244814987264","Asia/Calcutta",,"false","School App","8796093022208","kanban","120","","TASK"
"","UVFarms - Team","next 7 days -- mini mini projects","TEXT","","","N","","","","","0","2","2026-05-22T08:55:49+0000","2026-06-03T05:46:24+0000","-123145303359488","Asia/Calcutta",,"false","Sankari","7696581394432","kanban","121","","TASK"
"","UVFarms - Team","Shall we test Hermes agent as well","TEXT","","","N","","","","","0","0","2026-05-22T08:55:08+0000","","-122045791731712","Asia/Calcutta",,"false","Sandhya","4398046511104","kanban","122","","TASK"
"","UVFarms - Team","Rakesh -- integrate Sandhiya update into Nifty original","TEXT","","","N","","","","","0","2","2026-05-20T10:34:51+0000","2026-05-22T08:54:52+0000","-120946280103936","Asia/Calcutta",,"false","Sandhya","4398046511104","kanban","123","","TASK"
"","UVFarms - Team","FULL Features list from @kaviya today","TEXT","","","N","","","","","0","2","2026-05-20T07:29:27+0000","2026-05-22T08:55:57+0000","-119846768476160","Asia/Calcutta",,"false","School App","8796093022208","kanban","124","","TASK"
